StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Consent,Q39,Q1a,Q1b,Q1b_5_TEXT,Q1c,Q1d,Q1e,Q1f,Q1g_1,Q1g_2,Q1g_5,Q1g_6,Q1g_7,Q1g_8,Q1g_9,Q1g_10,Q1g_11,Q1g_12,Q1g_13,Q1h,Q1i_1,Q1i_2,Q1i_3,Q1i_4,Q1i_5,Q1i_9,Q1i_10,Q1i_11,Q1i_12,Q1j_1,Q1k_1,Q1k_2,Q1l,Q2a_1,Q2a_2,Q2a_3,Q2a_4,Q2a_5,Q2a_6,Q2a_7,Q2a_8,Q2a_9,Q2a_10,Q2b_1,Q2c_1,Q2d,Q93_1,Q93_2,Q93_3,Q93_4,Q93_5,Q93_6,Q93_7,Q93_8,Q94_1,Q7b
2024-10-07 22:44:32,2024-10-07 23:06:32,IPアドレス,133.27.93.109,100,1320,正,2024-10-07 23:06:33,R_4bHJgNepUz02265,,,,,35.6897,139.6895,qr,JA,はい、研究の質問に進む,S,21,男性,,日本語,日本人,日本,千葉県、日本,0,0,0,0,0,76,0,89,0,92,0,0,,,,,,,,,,0,0,0,なし,19,87,5,22,11,63,0,65,13,14,0,3.01,共同で同じリズムの曲を歌うことで一体感がますように感じる。結果としても、同期していたと感じるスコアが高くなるのかなと思う。,100,0,0,0,96,0,100,0,0,聞いたことはあるが、聞き馴染みのある曲では無いので、上手く歌うことが出来なかった。
2024-10-07 22:57:40,2024-10-07 23:06:46,IPアドレス,133.27.10.2,100,545,正,2024-10-07 23:06:46,R_4PuRLLG8We7tVY4,,,,,35.3638,139.4763,anonymous,JA,はい、研究の質問に進む,S,21,男性,,日本語,アジア,日本　神奈川県,日本　神奈川県,59,35,25,41,47,38,57,64,65,50,63,0,,,,,,,,,,31,0,10 or more,ピアノ,100,5,55,62,48,14,43,100,37,58,68,7.2,共に歌うことによる同期,0,66,73,64,0,63,100,69,69,面白い実験でした。歌詞として歌った場合と読むだけでは感覚が異なると感じたことが印象的です。
2024-10-07 22:44:42,2024-10-07 23:07:00,IPアドレス,133.27.77.35,100,1337,正,2024-10-07 23:07:00,R_4zbtRJmxyiB3wa5,,,,,35.3638,139.4763,qr,JA,はい、研究の質問に進む,S,22,女性,,日本語,日本人,神奈川、日本,愛知、日本,79,68,68,63,65,57,56,35,64,44,48,6,32,32,,,47,,61,,,62,10 or more,10 or more,ピアノ、エレクトーン、フルート、ピッコロ,76,0,78,64,63,29,65,100,91,63,74,8.78,一緒に母国語の曲を歌唱すると、他の参加者に対する信頼感や親密度は高まるのかを検証する。高まると思う。,31,72,55,66,59,63,100,60,58,実際の研究テーマや今回の実験結果が気になりました。
2024-10-07 22:51:45,2024-10-07 23:07:09,IPアドレス,133.27.77.195,100,923,正,2024-10-07 23:07:10,R_4j8PmpElmVnIfYB,,,,,35.3638,139.4763,qr,JA,はい、研究の質問に進む,S,,男性,,日本語,日本,日本　神奈川,日本　神奈川,85,76,63,40,64,50,90,50,40,100,7,6,70,69,72,72,73,37,,,,33,0,6-9,ピアノ,100,0,100,87,93,1,90,100,100,79,73,6.15,歌う前後でで自己と他者との間に絆が生まれ高まり報酬金に対して他者の利益を尊重した傾向になる,8,94,88,56,6,10,100,18,41,コードから読み取ると一回画面閉じたら最初からになってしまうのでそこの配慮が欲しかったです
2024-10-07 20:36:12,2024-10-07 23:07:44,IPアドレス,210.137.32.218,100,9091,正,2024-10-07 23:07:45,R_4dFpfWm1A3qJNGt,,,,,35.6837,139.6805,qr,JA,はい、研究の質問に進む,S,39,男性,,English,White,藤沢、日本,"Madison, WI, USA",100,98,73,33,77,11,97,10,18,85,19,2,57,43,,,,,,,,38,10 or more,10 or more,"Piano, voice",92,18,78,40,75,75,33,81,83,78,59,10,"Social bonding (says me, Pat)",42,80,51,81,52,44,84,71,65,Conversation time was too short (should match singing).qualtrice bug makes it hard to push slider
2024-10-07 22:46:47,2024-10-07 23:08:16,IPアドレス,126.254.34.156,100,1288,正,2024-10-07 23:08:17,R_4jeQxiYvaLaWxjK,,,,,35.6837,139.6805,qr,JA,はい、研究の質問に進む,C,22,男性,,日本語,日本人,神奈川　日本,神奈川　日本,54,100,50,0,52,0,57,14,10,95,3,6,86,86,86,86,86,55,,,,50,0,2,ピアノ、ドラム,95,10,63,57,55,15,18,74,23,79,30,10,知っている曲について話し、共同歌唱することによるソーシャルボンディングの増強 増強される,36,55,86,78,41,41,87,64,65,面白いです
2024-10-07 22:46:18,2024-10-07 23:08:23,IPアドレス,49.109.8.147,100,1325,正,2024-10-07 23:08:24,R_4EaPjwJgcI9O14H,,,,,35.6837,139.6805,qr,JA,はい、研究の質問に進む,C,19,男性,,日本語,日本人,日本、藤沢市,日本、横浜市,20,28,69,34,70,5,96,11,30,77,18,5,15,17,9,0,0,,,,,33,0,0,,100,5,85,69,73,13,71,100,70,90,41,7.04,音楽体験の共有が他人との親近感を高めるかどうか、高める結果になると思う,3,68,85,84,12,67,100,82,54,
2024-10-07 22:46:45,2024-10-07 23:08:27,IPアドレス,133.27.10.2,100,1302,正,2024-10-07 23:08:28,R_4N09XVoCIeW3JFD,,,,,35.3638,139.4763,qr,JA,はい、研究の質問に進む,C,25,男性,,日本語,日本人/アジア人,藤沢市 日本,岐阜 日本,100,87,80,38,64,76,68,63,55,79,42,6,51,84,76,74,73,97,,,,57,0,0,,100,88,65,64,60,55,9,73,56,84,61,,ある一つの歌について、歌ったり歌詞を読んだりしてソーシャルボンディングが築かれるかどうかを見ている実験だと思う。一緒に歌った後が一番社会的結束が強くなると思う。,70,68,76,68,81,59,89,75,62,
2024-10-07 22:46:58,2024-10-07 23:08:32,IPアドレス,104.28.101.239,100,1294,正,2024-10-07 23:08:33,R_4LqwcaAWtYRJHIL,,,,,35.5602,139.2397,qr,JA,はい、研究の質問に進む,C,21,女性,,日本語,日本人,藤沢、日本,横浜、日本,91,82,68,82,91,0,100,0,2,100,7,6,76,75,0,63,1,0,,,,62,0,10 or more,ピアノ,92,74,89,59,74,4,84,46,61,80,69,5.98,歌を歌うことによる信頼度・共感度の構築、向上,0,100,100,98,0,96,100,96,78,男女混合で自然とキーを合わせるのって難しいですね
2024-10-07 22:46:55,2024-10-07 23:08:51,IPアドレス,133.27.74.112,100,1315,正,2024-10-07 23:08:51,R_4Gv9VQ7x0s2cpEl,,,,,35.3553,139.4824,qr,JA,はい、研究の質問に進む,C,49,女性,,日本語,日本/アジア,神奈川、日本,名古屋、日本,93,91,84,21,100,83,100,0,86,96,25,6,87,68,,48,16,38,,,,76,1,10 or more,サクソフォン、ピアノ,100,8,78,63,61,9,37,81,84,55,64,8.24,馴染みのある楽曲を共有することによる社会的絆感の強さの変化。共有によって強くなる。,42,87,85,90,58,67,100,89,94,ソロは緊張しました笑 でも楽しかったです！
2024-10-07 22:58:24,2024-10-07 23:09:03,IPアドレス,133.27.90.21,100,639,正,2024-10-07 23:09:04,R_4melRk5jBKLTOHD,,,,,35.6897,139.6895,qr,JA,はい、研究の質問に進む,C,25,男性,,日本,日本,日本、神奈川,日本、北海道,85,90,31,40,44,27,68,25,36,72,30,3,84,68,56,,,,,,,44,0,10 or more,三味線、エレクトーン,93,69,44,50,58,37,42,62,43,61,50,7.01,コミュにケーション,74,65,78,70,32,57,85,89,80,最初の待ち時間が長い
2024-10-07 22:46:52,2024-10-07 23:09:06,IPアドレス,126.186.129.183,100,1334,正,2024-10-07 23:09:07,R_4R4kXPO8LWnBpQB,,,,,35.6837,139.6805,qr,JA,はい、研究の質問に進む,C,19,女性,,日本語,アジア人,日本,日本　東京都,0,0,75,15,82,84,32,40,64,76,50,4,12,0,0,0,,,,,,5,3-5,3-5,ピアノ,0,27,77,59,79,40,50,51,56,52,23,6.37,仲良くなれるかどうか。コミュニケーションが増える,74,46,34,68,87,32,82,31,31,少し恥ずかしかった
2024-10-07 22:45:10,2024-10-07 23:10:44,IPアドレス,126.182.62.47,100,1533,正,2024-10-07 23:10:44,R_4ftsQwq6U3JE7u1,,,,,35.6729,139.697,qr,JA,はい、研究の質問に進む,R,42,男性,,日本語,日本人,神奈川県、日本,兵庫県、日本,84,68,82,9,93,8,85,8,25,91,20,5,87,80,94,66,98,,,,,74,0,6-9,ドラム,100,0,99,87,86,0,86,91,98,96,86,10,一緒に朗読することがグループの協調性にどのように影響するのか調べることが目的だと思う。結果は、少し協調性が上がるように思う。,31,95,100,100,7,84,95,95,100,
2024-10-07 22:45:27,2024-10-07 23:10:47,IPアドレス,133.27.10.2,100,1519,正,2024-10-07 23:10:47,R_4b2iJjIDHLOATmv,,,,,35.3638,139.4763,qr,JA,はい、研究の質問に進む,R,20,男性,,日本語,日本,日本,日本,0,68,81,22,100,25,51,23,16,88,0,5,86,87,87,87,88,87,87,88,87,72,0,10 or more,和太鼓,40,0,100,82,100,0,23,100,92,59,66,7.07,この歌でメンバー間での同期が向上するかどうか、向上する。,0,100,100,100,0,22,100,100,80,久しぶりに歌って楽しかったです！
2024-10-07 22:45:48,2024-10-07 23:10:56,IPアドレス,126.35.204.214,100,1508,正,2024-10-07 23:10:56,R_4aaew0kj4WQUv6w,,,,,35.6897,139.6895,qr,JA,はい、研究の質問に進む,R,24,女性,,日本語,アジア人,日本、神奈川,日本、埼玉,63,63,69,58,65,11,67,14,55,67,67,5,78,75,90,82,83,,,,,61,0,6-9,トロンボーン、ピアノ,92,18,93,76,75,23,69,71,89,76,79,4.02,朗読と歌の評価の比較。この後、朗読ではなく歌った後に同様のアンケートを取る。歌った後のアンケートの方がグループ間の繋がりを表す評価が高くなる。,69,79,80,85,67,64,100,57,85,一人一人で歌う課題は、自己を開示している気分になってグループに対する親近感が上がった気がした。
2024-10-07 22:48:42,2024-10-07 23:11:43,IPアドレス,106.133.40.116,100,1380,正,2024-10-07 23:11:43,R_4RfMc9zcdXxU9y1,,,,,35.6837,139.6805,qr,JA,はい、研究の質問に進む,R,25,女性,,日本語,黄色人種,日本 東京,東京 日本,100,88,100,18,100,0,100,0,0,100,0,5,67,65,65,66,64,0,,,,32,10 or more,10 or more,声楽・ピアノ,100,0,100,100,100,0,100,100,74,100,73,8.26,歌をともに歌うことでグループ間での結束力が深まるかどうか。結果はより深まると思う。,0,100,100,100,0,80,100,100,78,楽しかったです！歌詞を読む時は、一緒に読んでいても、方言によって少しバラつくのが、歌だと揃うので面白いと思った。みんなで歌ったり、一行ずつ歌うのがとても社会的結束が深まったと思う！
2024-10-07 22:46:17,2024-10-07 23:11:45,IPアドレス,133.27.85.46,100,1527,正,2024-10-07 23:11:46,R_4YhcLMJ0jACaLFV,,,,,35.301,139.5386,qr,JA,はい、研究の質問に進む,R,39,男性,,日本語,日本人/アジア系,藤沢市、日本,横浜市、日本,68,100,83,0,100,56,73,26,42,80,0,5,86,67,85,81,59,,,,,78,0.5,6-9,ドラム,87,62,86,81,82,0,35,40,68,89,84,10,合唱を通して参加者の繋がりが高まるかどうか。少し高まる。,37,82,100,100,28,35,78,80,87,歌の最後でタイムアップになってしまったので、もう少し時間が欲しかった
2024-10-07 22:46:11,2024-10-07 23:11:55,IPアドレス,133.27.10.2,100,1543,正,2024-10-07 23:11:55,R_4Iot0m3ZvcC6nzH,,,,,35.3638,139.4763,qr,JA,はい、研究の質問に進む,R,30,男性,,日本語,日本人,日本,神奈川県、日本,55,0,100,81,98,0,100,1,0,100,0,5,100,100,84,84,87,,,,,53,0,0,,95,5,90,35,35,19,25,95,70,67,51,6.03,朗読の同期度合いと社会的紐帯の関連を検証する実験だと思います。,10,85,96,64,11,62,80,59,72,歌詞について話すフェーズが難しかったです。あまり歌の詞について、みんなで議論したことがないためです。歌うのは楽しかったです。
2024-10-03 16:47:21,2024-10-03 19:15:25,IPアドレス,202.36.244.201,13,8883,誤,2024-10-10 19:15:26,R_4QGjaeoxuaLqcPD,,,,,,,anonymous,EN,はい、研究の質問に進む,C,18,回答しない,,a,aa,a,a,49,50,50,50,50,50,50,51,50,50,50,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-05 23:54:43,2024-10-05 23:55:41,IPアドレス,106.73.80.32,13,57,誤,2024-10-12 23:55:43,R_4LuJnl6psJI4dHl,,,,,,,qr,JA,はい、研究の質問に進む,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-03 16:41:09,2024-10-06 21:58:42,IPアドレス,115.188.19.162,0,278252,誤,2024-10-13 21:58:43,R_40lx1AC1Td4Dua5,,,,,,,qr,EN,はい、研究の質問に進む,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-07 22:44:23,2024-10-07 22:48:04,IPアドレス,133.27.10.2,63,221,誤,2024-10-14 22:48:24,R_4bJ0Tc7sroPnUUo,,,,,,,qr,JA,はい、研究の質問に進む,S,21,男性,,日本語,アジア,日本　神奈川県,日本　神奈川県,48,25,10,34,50,64,49,59,49,54,60,0,,,,,,,,,,33,0,10 or more,ピアノ,,,,,,,,,,,,,,,,,,,,,,,
2024-10-07 22:44:45,2024-10-07 22:49:28,IPアドレス,133.27.77.195,63,282,誤,2024-10-14 22:49:29,R_4Vk7CwtyuKrzU9H,,,,,,,qr,JA,はい、研究の質問に進む,S,25,男性,,日本語,日本,日本　神奈川,日本　神奈川,73,86,100,20,88,59,90,17,56,68,0,6,70,68,70,70,52,79,0,0,,29,6-9,,ピアノ,,,,,,,,,,,,,,,,,,,,,,,
2024-10-07 22:49:33,2024-10-07 22:52:32,IPアドレス,133.27.90.21,63,178,誤,2024-10-14 22:52:43,R_4uApDun65srzsbv,,,,,,,qr,JA,はい、研究の質問に進む,C,25,男性,,日本語,日本,日本、神奈川,日本、北海道,94,94,31,41,43,40,62,26,36,71,32,3,100,60,41,,,,,,,50,0,10 or more,三味線、エレクトーン,,,,,,,,,,,,,,,,,,,,,,,
2024-10-28 04:35:07,2024-10-28 05:05:36,IPアドレス,106.73.80.32,100,1828,正,2024-10-28 05:05:36,R_4En66ZYymTirQnY,,,,,35.3638,139.4763,anonymous,JA,はい、研究の質問に進む,C,25,男性,,日本語,日本人,日本,東京,71,61,35,23,35,45,72,38,42,65,57,2,50,68,,,,,,,,97,3-5,1,ピアノ,71,62,57,77,43,64,43,58,45,60,64,,,62,57,56,44,44,44,45,43,48,なし
2024-11-10 07:58:03,2024-11-10 08:10:52,IPアドレス,105.112.176.149,100,769,正,2024-11-10 08:10:53,R_86eVcP4K9wBhYBw,,,,,6.4474,3.3903,anonymous,EN,はい、研究の質問に進む,C,45,女性,,English,Igbo,"Lagos, Nigeria","Lagos, Nigeria",99,95,95,50,50,8,95,0,0,81,1,6,100,100,100,100,100,71,0,0,57,100,10 or more,6-9,"Voice, piano and violin",50,50,50,50,50,50,50,50,50,50,85,8.34,One voice many speeches,50,50,50,50,50,50,50,50,88,Nil
2024-11-11 07:32:28,2024-11-11 07:40:44,IPアドレス,2.35.240.141,100,496,正,2024-11-11 07:40:46,R_2tQFBlvSeUy1VgR,,,,,38.1302,13.329,anonymous,EN,はい、研究の質問に進む,C,28,女性,,Bini,Black,Palermo italy,Lagos nigeria,100,94,46,34,98,5,99,5,4,25,0,8,65,66,60,55,68,71,56,64,56,50,3-5,3-5,Voice,96,10,100,99,39,0,28,31,35,30,50,2,,4,91,100,30,14,28,60,46,22,None
2024-11-11 07:31:36,2024-11-11 07:41:03,IPアドレス,105.112.71.18,100,566,正,2024-11-11 07:41:04,R_2rrM6SWxSXTh201,,,,,6.4474,3.3903,anonymous,EN,はい、研究の質問に進む,C,45,女性,,English/ Yoruba,Igbo,Lagos/Nigeria,Lagos/Nigeria,100,100,100,100,100,0,100,0,0,100,0,8,80,100,100,100,71,100,100,100,100,100,10 or more,,"voice, violin, piano",100,0,100,100,84,0,100,100,100,35,100,0,"Singing together enhance social bonding, speaking and having conversation with one another increases the rate of well being for me particularly",0,100,100,100,0,100,100,100,89,The study is a great one and should be investigated further
2024-11-11 07:31:08,2024-11-11 07:41:54,IPアドレス,102.89.46.57,100,646,正,2024-11-11 07:41:55,R_2K0U4elwR6B4t1E,,,,,6.4474,3.3903,anonymous,EN,はい、研究の質問に進む,C,27,女性,,Ibibio,African,"Lagos, Nigeria","Lagos, Nigeria",100,100,100,100,100,0,100,0,0,0,0,7,71,100,75,100,100,79,100,74,,51,10 or more,10 or more,Piano,100,0,100,100,100,0,100,100,100,100,59,10,To encourage social bonding. I think the results will be amazing! Everyone looked like they had fun.,0,100,100,100,0,100,100,100,55,"We should do this more often! The world needs so much healing! "
2024-11-11 07:31:57,2024-11-11 07:42:33,IPアドレス,93.65.242.208,100,636,正,2024-11-11 07:42:34,R_8PN9HV4F5lFFeje,,,,,38.1302,13.329,anonymous,EN,はい、研究の質問に進む,C,24,男性,,Yoruba,Yoruba,"Palermo, Italy","Lagos, Nigeria",100,100,100,90,100,0,100,0,0,100,100,8,42,20,41,100,100,29,100,26,0,51,6-9,6-9,"Piano, Drums, Guitar",100,0,100,100,100,0,100,100,100,100,100,7.2,"To feel connected to everyone, irrespective of location. This will strengthen human connection irrespective of wherever we find ourselves ",0,100,100,100,0,100,100,100,100,I enjoy it and I wish there are more of it
2024-11-11 07:31:26,2024-11-11 07:43:12,IPアドレス,93.65.242.208,100,706,正,2024-11-11 07:43:13,R_2equlwKATsUhFMl,,,,,38.1302,13.329,anonymous,EN,はい、研究の質問に進む,C,25,女性,,"English, Yoruba","Yoruba ","Palermo, Italy","Lagos, Nigeria ",100,100,100,74,73,0,100,0,0,100,0,8,100,100,100,100,76,76,78,51,20,50,6-9,3-5,Bass,100,0,50,81,80,0,82,100,84,85,51,5.05,"I think the goal was unity and collaborative efforts, I think the result would be team work",0,53,92,80,0,65,96,98,50,No
2024-11-11 07:31:45,2024-11-11 07:43:42,IPアドレス,93.65.242.208,100,716,正,2024-11-11 07:43:43,R_85QlWG4cx0FZc5Y,,,,,38.1302,13.329,anonymous,EN,はい、研究の質問に進む,C,28,男性,,English/Yoruba,Yoruba,"Palermo, Italy","Lagos, Nigeria",97,100,100,100,97,0,98,0,0,100,0,8,100,100,100,100,83,84,85,84,,53,3-5,10 or more,Drums set,65,99,100,100,100,0,100,100,99,100,52,5.01,"To facilitate collaboration ",0,100,100,100,0,100,100,100,51,No
2024-11-11 07:31:21,2024-11-11 07:46:31,IPアドレス,93.65.242.208,100,910,正,2024-11-11 07:46:32,R_2KjzFxoiMWL7x22,,,,,38.1302,13.329,anonymous,EN,はい、研究の質問に進む,C,25,男性,,"English , yoruba ","Yoruba ","Palermo Italy ","Lagos Nigeria ",100,100,100,97,100,100,100,0,0,95,0,8,100,100,99,100,91,86,86,83,79,57,3-5,3-5,Yes,100,0,53,100,99,0,92,100,100,99,51,5.91,"To create collaborative efforts amongs various individuals of different races , gender, and tribes . The result of this study would create for evidence based analysis for collaborations amongst individuals ",0,54,100,48,0,96,99,100,52,"It was a beautiful experience "
2024-11-11 07:31:17,2024-11-11 07:55:22,IPアドレス,197.211.53.64,100,1444,正,2024-11-11 07:55:22,R_8iJYm6xKWjeRUQd,,,,,6.4474,3.3903,anonymous,EN,はい、研究の質問に進む,C,27,女性,,Igede,Benue,Nigeria,Lagos Nigeria,100,100,100,100,100,0,78,0,0,100,0,8,72,69,100,66,100,77,100,100,1,100,10 or more,3-5,"Piano ,guitar",100,0,100,100,100,0,100,100,100,100,100,10,"Social Bonding, connection between different individual using music, creating onesness unity and cooperation amongst friends",0,100,100,100,0,100,100,100,100,"It was a beautiful one, i enjoyed every bit of it, it was passionate, collaborative, unifying. It was generally a beautiful experience to slng with the other participants,  there was so much connection sknging the same lyrics in one voice, doing our best to make sure we were singing at the same pace with one another it was really melodious and an amazing experience "
2024-11-05 18:25:44,2024-11-10 21:43:47,IPアドレス,202.36.244.221,67,443882,誤,2024-11-17 21:43:52,R_4q1Bb33ni51iHFB,,,,,,,anonymous,EN,はい、研究の質問に進む,C,18,女性,,a,a,a,a,49,49,50,50,50,50,50,51,50,50,50,0,,,,,,,,,,45,0,0,,,,,,,,,,,,,,,,,,,,,,,,
